% Model:              
% Version:            COMSOL 5.4.0.346
% Date:               Dec 6 2020, 17:53
% Dimension:          1
% Nodes:              301
% Expressions:        1
% Description:        Line graph
% X                       Height
0                         31.348632520309195
0.033333333333333326      31.348614060776526
0.06666666666666665       31.348610187043562
0.09999999999999998       31.348620899110188
0.1333333333333333        31.34861769436668
0.16666666666666663       31.348622373236708
0.19999999999999996       31.348634935720213
0.2333333333333333        31.34863051815671
0.26666666666666655       31.348636672769715
0.29999999999999993       31.348653399559396
0.33333333333333326       31.34865001932127
0.36666666666666664       31.3486581125037
0.3999999999999999        31.3486776791068
0.4333333333333333        31.34867628564342
0.4666666666666666        31.34868662090122
0.49999999999999994       31.348708684880307
0.5333333333333332        31.348709648489717
0.5666666666666665        31.3487223868035
0.5999999999999999        31.34874689982172
0.6333333333333332        31.34875031405619
0.6666666666666664        31.34876552078083
0.6999999999999997        31.348792519995698
0.7333333333333331        31.348798455936674
0.7666666666666664        31.348816199468388
0.7999999999999997        31.348845750590954
0.8333333333333331        31.348854273894517
0.8666666666666665        31.348874630050318
0.8999999999999998        31.34890681905847
0.9333333333333332        31.348918002007906
0.9666666666666663        31.348941051868792
0.9999999999999997        31.348975968641184
1.033333333333333         31.3489898998713
1.0666666666666662        31.349015735166063
1.0999999999999996        31.349053474525533
1.133333333333333         31.349070254137416
1.1666666666666663        31.349098974645585
1.1999999999999995        31.349139636050154
1.233333333333333         31.349159370737425
1.2666666666666664        31.349191082119546
1.2999999999999994        31.349234770196517
1.3333333333333328        31.349257568453822
1.366666666666666         31.349292379685494
1.3999999999999995        31.34933920389159
1.433333333333333         31.349365174257684
1.4666666666666661        31.3494031942044
1.4999999999999996        31.349453263731846
1.533333333333333         31.349482515167324
1.5666666666666662        31.349523852291554
1.5999999999999996        31.349577275104537
1.633333333333333         31.349609914588484
1.6666666666666663        31.349654674427256
1.6999999999999997        31.34971155462091
1.7333333333333332        31.34974768432818
1.7666666666666664        31.349795966628562
1.7999999999999998        31.349856401522118
1.8333333333333333        31.349896115814317
1.8666666666666665        31.349948011399192
1.9                       31.350012088276912
1.9333333333333333        31.35005547032165
1.9666666666666666        31.35011105758622
2                         31.35017885007079
2.0333333333333337        31.350225968092673
2.0666666666666664        31.350285309131436
2.1                       31.35035687318714
2.1333333333333337        31.350407776349243
2.166666666666667         31.350470912717014
2.2                       31.35054628229051
2.233333333333334         31.35060099621967
2.2666666666666666        31.350667944345048
2.3000000000000003        31.35074712666676
2.333333333333334         31.350805648650407
2.366666666666667         31.350876394935653
2.4000000000000004        31.350959365522613
2.433333333333334         31.351021659425385
2.466666666666667         31.35109615508827
2.5000000000000004        31.351182852511442
2.533333333333334         31.351248843482438
2.5666666666666673        31.35132699921911
2.6000000000000005        31.351417319721634
2.633333333333334         31.351486888787235
2.666666666666667         31.351568569361234
2.7000000000000006        31.351662361443857
2.7333333333333343        31.351735340111873
2.7666666666666675        31.351820359004023
2.8000000000000007        31.351917418120422
2.8333333333333344        31.35199358314975
2.866666666666667         31.35208169743447
2.900000000000001         31.3521817609747
2.9333333333333345        31.35226082949714
2.9666666666666677        31.352351735141667
3.000000000000001         31.35245447790834
3.0333333333333345        31.35253610311895
3.0666666666666673        31.352629430931756
3.100000000000001         31.3527344613467
3.133333333333335         31.35281822900845
3.1666666666666683        31.352913541490068
3.2000000000000015        31.353020398791784
3.233333333333335         31.35310582482134
3.2666666666666684        31.353202614190877
3.3000000000000016        31.353310766900506
3.3333333333333353        31.353397296317326
3.366666666666668         31.353494983996484
3.4000000000000017        31.353603829938038
3.4333333333333353        31.35369083746116
3.4666666666666686        31.353788775298824
3.5000000000000018        31.353897643451205
3.5333333333333354        31.353984436015367
3.5666666666666687        31.354081909514264
3.600000000000002         31.35419006394784
3.6333333333333355        31.354275885380105
3.666666666666668         31.3543721191499
3.700000000000002         31.35447876525717
3.7333333333333356        31.354562803302542
3.766666666666669         31.354656968906113
3.800000000000002         31.35476126206794
3.8333333333333357        31.354842657879715
3.866666666666669         31.35493388415597
3.900000000000002         31.355034940896815
3.933333333333336         31.355112801010478
3.9666666666666686        31.35520018685486
4.000000000000002         31.355297098430242
4.033333333333336         31.355370509123645
4.066666666666669         31.355453138586597
4.100000000000002         31.355544986819154
4.133333333333336         31.355613030630764
4.16666666666667          31.35568999005784
4.200000000000002         31.355775865100497
4.233333333333336         31.355837639136098
4.266666666666668         31.3559080359351
4.3000000000000025        31.35598705549762
4.333333333333337         31.35604169101822
4.36666666666667          31.35610467350108
4.400000000000002         31.356176002946313
4.433333333333336         31.356222685601153
4.4666666666666694        31.35627746322848
4.500000000000003         31.356340335828406
4.533333333333337         31.356378325793855
4.566666666666669         31.356424189058544
4.600000000000002         31.35647792562264
4.633333333333336         31.35650657684039
4.66666666666667          31.35654291597234
4.700000000000003         31.356586943018613
4.733333333333337         31.356605720701964
4.766666666666669         31.356632042370563
4.8000000000000025        31.35666590802441
4.833333333333337         31.35667440363318
4.866666666666669         31.356690344873016
4.900000000000003         31.35671373174398
4.933333333333336         31.356711674712813
4.966666666666669         31.356717013400328
5.000000000000002         31.35672974780664
5.033333333333336         31.356717013447053
5.066666666666669         31.356711674806718
5.100000000000002         31.356713731885577
5.133333333333337         31.35669034506327
5.16666666666667          31.356674403873228
5.200000000000003         31.35666590831545
5.233333333333337         31.356632042713954
5.266666666666669         31.3566057210989
5.3000000000000025        31.356586943470404
5.333333333333336         31.35654291648001
5.366666666666669         31.35650657740416
5.400000000000002         31.356477926242917
5.433333333333336         31.356424189735037
5.466666666666669         31.356378326525032
